,LONG,LAT,group
S001,126.1247,48.650925,High_latitude
S003,128.9026,47.72203333,High_latitude
S004,130.2527,47.33975278,High_latitude
S005,124.0023,47.25391389,High_latitude
S006,130.3672,46.76163611,High_latitude
S007,124.8197,46.01903889,High_latitude
S010,129.5898,44.60595278,High_latitude
S011,126.066,44.52816667,High_latitude
S013,123.831,44.2441,High_latitude
S015,126.0384,44.10463333,High_latitude
S016,125.1389,43.54666667,High_latitude
S017,128.3475,43.28418333,High_latitude
S018,125.9139,43.21155,High_latitude
S019,125.509,42.1828,High_latitude
S022,123.38,41.8,High_latitude
S025,122.13,40.39,High_latitude
S026,121.46,39.02,High_latitude
S027,120.7663,37.7789,High_latitude
S028,122.1203,37.489,High_latitude
S030,120.3755,36.399233,High_latitude
S031,117.077,36.2069,High_latitude
S032,117.0831,36.20002,High_latitude
S033,120.1311,35.9731,High_latitude
S034,117.729,34.983358,High_latitude
S035,117.5906,34.775833,High_latitude
S037,119.781,32.755555,High_latitude
S038,118.824,32.53060505,High_latitude
S039,118.849,32.056085,High_latitude
S040,117.3847,32.916282,High_latitude
S042,116.8272,32.6296694,High_latitude
S043,117.3393,31.779591,Low_latitude
S044,117.8717,31.620599,Low_latitude
S046,116.1897,30.996615,Low_latitude
S047,118.3293,30.91493,Low_latitude
S048,117.0517,30.524961,Low_latitude
S049,112.2898,30.904984,Low_latitude
S050,111.6692,30.703906,Low_latitude
S051,111.5938,30.640037,Low_latitude
S052,115.4365,30.596241,Low_latitude
S053,115.6308,30.589983,Low_latitude
S054,114.3613,30.478389,Low_latitude
S055,113.2057,29.54906,Low_latitude
S058,120.93,28.886399,Low_latitude
S059,118.5013,28.765433,Low_latitude
S060,120.3,27.6514,Low_latitude
S061,120.2933,27.643,Low_latitude
S062,120.5349,27.6262,Low_latitude
S063,116.8743,29.3985,Low_latitude
S064,115.8927,29.38875,Low_latitude
S065,116.9176,28.39733333,Low_latitude
S066,116.2927,28.38758333,Low_latitude
S068,116.0741,27.38419444,Low_latitude
S069,115.3204,26.38794444,Low_latitude
S070,114.9126,25.39852778,Low_latitude
S071,115.0655,25.39505556,Low_latitude
S072,114.9936,24.38519444,Low_latitude
S073,111.146,27.259363,Low_latitude
S074,110.3243,26.744125,Low_latitude
S075,112.8987,25.734948,Low_latitude
S078,119.0835,25.491593,Low_latitude
S079,119.1113,25.4587286,Low_latitude
S081,108.26,24.87,Low_latitude
S083,109.15,24.31,Low_latitude
S084,108.35,22.99,Low_latitude
S085,108.53,22.94,Low_latitude
S086,108.65,22.01,Low_latitude
S087,108.77,21.88,Low_latitude
S088,108.97,21.8,Low_latitude
S089,109.27,21.51,Low_latitude
S090,111.9,21.86666667,Low_latitude
S091,111.3667,21.65,Low_latitude
S094,110,21.06666667,Low_latitude
S095,110.0667,20.78333333,Low_latitude
S096,110.0333,20.7,Low_latitude
S097,110.1167,20.46666667,Low_latitude
S098,110.2,20.28333333,Low_latitude
S100,109.7064,19.74288889,Low_latitude
S101,109.6493,19.69694444,Low_latitude
S102,109.7736,19.55038889,Low_latitude
S104,109.4901,19.52233333,Low_latitude
S105,109.491,19.51566667,Low_latitude
