,td,sita,p,Group
S001,43.32,5.97,0.84,High_latitude
S003,41.23,11.07,1.27,High_latitude
S004,27.07,10.87,1.7,High_latitude
S005,25.09,8.41,1.55,High_latitude
S006,28.08,5.33,1,High_latitude
S007,32.65,7.97,1.12,High_latitude
S010,29.37,7.8,1.19,High_latitude
S011,16.83,3.1,0.98,High_latitude
S013,20.6,3.2,0.95,High_latitude
S015,22.08,4.79,1.06,High_latitude
S016,27.43,6.37,1.08,High_latitude
S017,16.37,4.63,1.25,High_latitude
S018,25.04,4.86,0.99,High_latitude
S019,21,5.73,1.2,High_latitude
S022,5.32,1.19,1.11,High_latitude
S025,7.71,1.04,0.79,High_latitude
S026,5.98,1.29,1.09,High_latitude
S027,9.46,1.7,0.92,High_latitude
S028,23.63,6.22,1.24,High_latitude
S030,26.21,5.57,1.1,High_latitude
S031,33.64,5.84,0.91,High_latitude
S032,24.15,6.57,1.28,High_latitude
S033,25.66,8.06,1.32,High_latitude
S034,23.58,6.46,1.22,High_latitude
S035,25.16,5.87,1.1,High_latitude
S037,31.96,3.5,0.77,High_latitude
S038,32.77,2.56,0.67,High_latitude
S039,27.77,5.22,0.9,High_latitude
S040,37.57,10.43,1.57,High_latitude
S042,24.9,7.17,1.28,High_latitude
S043,8.09,0.97,0.8,Low_latitude
S044,22.14,3.32,0.89,Low_latitude
S046,19.71,6.49,1.51,Low_latitude
S047,16.96,2.12,0.74,Low_latitude
S048,17.76,3.51,1.03,Low_latitude
S049,23.74,3.74,0.91,Low_latitude
S050,15.42,2.88,0.99,Low_latitude
S051,5.93,1.95,1.08,Low_latitude
S052,6.29,0.96,0.8,Low_latitude
S053,5.14,1.43,0.99,Low_latitude
S054,7.88,1.14,0.71,Low_latitude
S055,2.1,0.6,0.97,Low_latitude
S058,8.52,0.58,0.62,Low_latitude
S059,7.08,1.59,1.05,Low_latitude
S060,7.58,2.08,1.12,Low_latitude
S061,6.61,0.79,0.77,Low_latitude
S062,14.12,0.16,0.34,Low_latitude
S063,10.12,0.46,0.51,Low_latitude
S064,9.39,2.84,1.2,Low_latitude
S065,11.12,2.99,1.14,Low_latitude
S066,8.57,2.14,0.96,Low_latitude
S068,8.08,2.47,0.97,Low_latitude
S069,9.33,2.12,0.98,Low_latitude
S070,9.79,2.12,0.79,Low_latitude
S071,11.47,1.78,0.76,Low_latitude
S072,12.38,1.36,0.66,Low_latitude
S073,12.15,2.86,0.9,Low_latitude
S074,5.26,0.78,0.65,Low_latitude
S075,5.36,1.25,0.79,Low_latitude
S078,6.94,1.48,0.83,Low_latitude
S079,6.14,1.51,0.89,Low_latitude
S081,4.31,0.55,0.66,Low_latitude
S083,4.6,1.29,1.15,Low_latitude
S084,5.5,1.12,0.81,Low_latitude
S085,6.86,1.07,0.73,Low_latitude
S086,1.98,0.47,0.9,Low_latitude
S087,12.2,3.25,1.08,Low_latitude
S088,8.06,2.78,1.06,Low_latitude
S089,4.67,1.56,0.89,Low_latitude
S090,5.86,1.99,1.08,Low_latitude
S091,4.24,1.35,1.13,Low_latitude
S094,16.25,3.54,0.96,Low_latitude
S095,15.25,1.48,0.72,Low_latitude
S096,10.81,0.53,0.44,Low_latitude
S097,10.66,2.81,1.13,Low_latitude
S098,9.94,0.1,0.32,Low_latitude
S100,5.33,0.09,0.34,Low_latitude
S101,11.77,0.84,0.6,Low_latitude
S102,15.24,1.63,0.61,Low_latitude
S104,11.7,2.05,0.77,Low_latitude
S105,11.15,2.24,0.98,Low_latitude
