,LONG,LAT,td
S001,126.1247,48.650925,43.32
S003,128.9026,47.72203333,41.23
S004,130.2527,47.33975278,27.07
S005,124.0023,47.25391389,25.09
S006,130.3672,46.76163611,28.08
S007,124.8197,46.01903889,32.65
S010,129.5898,44.60595278,29.37
S011,126.066,44.52816667,16.83
S013,123.831,44.2441,20.6
S015,126.0384,44.10463333,22.08
S016,125.1389,43.54666667,27.43
S017,128.3475,43.28418333,16.37
S018,125.9139,43.21155,25.04
S019,125.509,42.1828,21
S022,123.38,41.8,5.32
S025,122.13,40.39,7.71
S026,121.46,39.02,5.98
S027,120.7663,37.7789,9.46
S028,122.1203,37.489,23.63
S030,120.3755,36.399233,26.21
S031,117.077,36.2069,33.64
S032,117.0831,36.20002,24.15
S033,120.1311,35.9731,25.66
S034,117.729,34.983358,23.58
S035,117.5906,34.775833,25.16
S037,119.781,32.755555,31.96
S038,118.824,32.53060505,32.77
S039,118.849,32.056085,27.77
S040,117.3847,32.916282,37.57
S042,116.8272,32.6296694,24.9
S043,117.3393,31.779591,8.09
S044,117.8717,31.620599,22.14
S046,116.1897,30.996615,19.71
S047,118.3293,30.91493,16.96
S048,117.0517,30.524961,17.76
S049,112.2898,30.904984,23.74
S050,111.6692,30.703906,15.42
S051,111.5938,30.640037,5.93
S052,115.4365,30.596241,6.29
S053,115.6308,30.589983,5.14
S054,114.3613,30.478389,7.88
S055,113.2057,29.54906,2.1
S058,120.93,28.886399,8.52
S059,118.5013,28.765433,7.08
S060,120.3,27.6514,7.58
S061,120.2933,27.643,6.61
S062,120.5349,27.6262,14.12
S063,116.8743,29.3985,10.12
S064,115.8927,29.38875,9.39
S065,116.9176,28.39733333,11.12
S066,116.2927,28.38758333,8.57
S068,116.0741,27.38419444,8.08
S069,115.3204,26.38794444,9.33
S070,114.9126,25.39852778,9.79
S071,115.0655,25.39505556,11.47
S072,114.9936,24.38519444,12.38
S073,111.146,27.259363,12.15
S074,110.3243,26.744125,5.26
S075,112.8987,25.734948,5.36
S078,119.0835,25.491593,6.94
S079,119.1113,25.4587286,6.14
S081,108.26,24.87,4.31
S083,109.15,24.31,4.6
S084,108.35,22.99,5.5
S085,108.53,22.94,6.86
S086,108.65,22.01,1.98
S087,108.77,21.88,12.2
S088,108.97,21.8,8.06
S089,109.27,21.51,4.67
S090,111.9,21.86666667,5.86
S091,111.3667,21.65,4.24
S094,110,21.06666667,16.25
S095,110.0667,20.78333333,15.25
S096,110.0333,20.7,10.81
S097,110.1167,20.46666667,10.66
S098,110.2,20.28333333,9.94
S100,109.7064,19.74288889,5.33
S101,109.6493,19.69694444,11.77
S102,109.7736,19.55038889,15.24
S104,109.4901,19.52233333,11.7
S105,109.491,19.51566667,11.15
